collect_time,used_value
2022/8/30,112067843793902.00
2022/8/31,112240486361980.00
2022/9/1,111896637313732.00
2022/9/2,111827063624868.00
2022/9/3,111520938806038.00
2022/9/4,111266571679829.00
2022/9/5,111531050657321.00
2022/9/6,111669271626395.00
2022/9/7,112346134579632.00
2022/9/8,112548120014620.00
2022/9/9,112454653877346.00
2022/9/10,113082301120442.00
2022/9/11,112888940465188.00
2022/9/12,113227393654122.00
2022/9/13,113800279912379.00
2022/9/14,113757133982857.00
2022/9/15,113588824778726.00
2022/9/16,113721618832379.00
2022/9/17,113432787919199.00
2022/9/18,113719794805036.00
2022/9/19,113619914175703.00
2022/9/20,114044147132059.00
2022/9/21,114690403160757.00
2022/9/22,114685066001981.00
2022/9/23,114669152338798.00
2022/9/24,114788126372821.00
2022/9/25,114800581483399.00
2022/9/26,114830605913550.00
2022/9/27,114799830581758.00
2022/9/28,115062945046142.00
2022/9/29,114926479911338.00
2022/9/30,115217893741216.00
2022/10/1,114667493515307.00
2022/10/2,115105623458912.00
2022/10/3,115295862244948.00
2022/10/4,115621550477285.00
2022/10/5,116146588612258.00
2022/10/6,115834591915735.00
2022/10/7,115938170770616.00
2022/10/8,116376111812478.00
2022/10/9,116853142616670.00
2022/10/10,116681294439442.00
2022/10/11,116882283089110.00
2022/10/12,116881706207539.00
2022/10/13,117233499323643.00
2022/10/14,117185760486511.00
2022/10/15,117131902759278.00
2022/10/16,117193563146058.00
2022/10/17,116613446750804.00
2022/10/18,116614750402874.00
2022/10/19,117037590922207.00
2022/10/20,117115621436684.00
2022/10/21,117366650989351.00
2022/10/22,117859221576972.00
2022/10/23,117706641532626.00
2022/10/24,116604374552657.00
2022/10/25,109820883322974.00
2022/10/26,107770848931967.00
2022/10/27,108116137161196.00
2022/10/28,108683939209967.00
2022/10/29,109279770234107.00
2022/10/30,109856251482982.00
2022/10/31,110122833713482.00
2022/11/1,110839726836648.00
2022/11/2,111514635766214.00
2022/11/3,112052997604664.00
2022/11/4,112399349283066.00
2022/11/5,113218346802795.00
2022/11/6,113945065751838.00
2022/11/7,114350434732495.00
2022/11/8,114316366521218.00
2022/11/9,114730676086497.00
2022/11/10,115153406501659.00
2022/11/11,115425934342739.00
2022/11/12,115913164931779.00
2022/11/13,116198052039851.00
2022/11/14,116538747046941.00
2022/11/15,116810654181923.00
2022/11/16,117280393281885.00
2022/11/17,117800181239148.00
2022/11/18,118298695196654.00
2022/11/19,118793936559022.00
2022/11/20,119222081788202.00
2022/11/21,119292860102789.00
2022/11/22,119256306527219.00
2022/11/23,118588975780116.00
2022/11/24,111897099419100.00
2022/11/25,112671450083933.00
2022/11/26,114027861398593.00
2022/11/27,114803666482153.00
2022/11/28,115973699963298.00
2022/11/29,116855769534008.00
2022/11/30,117706951189831.00
2022/12/1,118396103856125.00
2022/12/2,119272455131750.00
2022/12/3,119806914700144.00
2022/12/4,120157594929766.00
2022/12/5,120813367166611.00
2022/12/6,120603828375644.00
2022/12/7,121137767088659.00
2022/12/8,121025063029178.00
2022/12/9,121048402134654.00
2022/12/10,120494487300281.00
2022/12/11,120506063926993.00
2022/12/12,119855477089724.00
2022/12/13,120267514778843.00
2022/12/14,120676685980556.00
2022/12/15,120767532946455.00
2022/12/16,121181631786067.00
2022/12/17,121096717161583.00
2022/12/18,121429759817573.00
2022/12/19,121551509548980.00
2022/12/20,121025767435062.00
2022/12/21,120489342462111.00
2022/12/22,120183869105961.00
2022/12/23,120221049911372.00
2022/12/24,120448485847956.00
2022/12/25,120889072434629.00
2022/12/26,120456954516935.00
2022/12/27,120593051112585.00
2022/12/28,120836912338573.00
2022/12/29,120760995373151.00
2022/12/30,121388930232470.00
2022/12/31,121137513223646.00
2023/1/1,121205605330443.00
2023/1/2,121360811751242.00
2023/1/3,119881047287995.00
2023/1/4,112745865418166.00
2023/1/5,109574115813833.00
2023/1/6,104584565993540.00
2023/1/7,100986592467920.00
2023/1/8,98302093789003.00
2023/1/9,95556004809975.00
2023/1/10,92680170456207.00
2023/1/11,89378644451816.00
2023/1/12,86262507836188.00
2023/1/13,83038507122458.00
2023/1/14,79411329841070.00
2023/1/15,76397376522261.00
2023/1/16,73587056799044.00
2023/1/17,70401552698149.00
2023/1/18,67169032651036.00
2023/1/19,64376291223044.00
2023/1/20,61347591726355.00
2023/1/21,58076482724289.00
2023/1/22,54899056899471.00
2023/1/23,51899183167456.00
2023/1/24,49032078355941.00
2023/1/25,45993001994252.00
2023/1/26,43070717103179.00
2023/1/27,40130596285637.00
2023/1/28,37208704181810.00
2023/1/29,34255119920649.00
2023/1/30,31193099662031.00
2023/1/31,28039456292717.00
2023/2/1,24891307531350.00
2023/2/2,22734234432442.00
2023/2/3,23163284283850.00
2023/2/4,23963794626278.00
2023/2/5,24632208818062.00
2023/2/6,25379084103397.00
2023/2/7,27207445131381.00
2023/2/8,30429265736312.00
2023/2/9,33715192623024.00
2023/2/10,36841696113822.00
2023/2/11,39988237039896.00
2023/2/12,43102875301819.00
2023/2/13,46348684630212.00
2023/2/14,49608623484134.00
2023/2/15,52713221391718.00
2023/2/16,55710574812901.00
2023/2/17,58698488945173.00
2023/2/18,61670060468991.00
2023/2/19,64799939705440.00
2023/2/20,67953644753098.00
2023/2/21,71174769838050.00
2023/2/22,74237795021414.00
2023/2/23,77495201162484.00
2023/2/24,80685907889245.00
2023/2/25,83803285321326.00
2023/2/26,86991834368051.00
2023/2/27,90176900565160.00
2023/2/28,93113127910681.00
2023/3/1,96402627620963.00
2023/3/2,99566023749321.00
2023/3/3,102735568384114.00
2023/3/4,106019891361699.00
2023/3/5,108785416346013.00
2023/3/6,111514175835302.00
2023/3/7,113935015098521.00
2023/3/8,116118182385513.00
2023/3/9,117993432523236.00
2023/3/10,119696598248551.00
2023/3/11,121254456793918.00
2023/3/12,122509970376678.00
2023/3/13,123481912081812.00
2023/3/14,123727274378359.00
2023/3/15,124495879654497.00
2023/3/16,124688610100784.00
2023/3/17,124200184372745.00
2023/3/18,123157678489107.00
2023/3/19,121980501097521.00
2023/3/20,121192302652154.00
2023/3/21,120356553919363.00
2023/3/22,119583439969339.00
2023/3/23,119372560510038.00
2023/3/24,119602060538323.00
2023/3/25,120126080069680.00
2023/3/26,121325581361210.00
2023/3/27,122134197408738.00
2023/3/28,123123725553912.00
2023/3/29,123763087358779.00
2023/3/30,122789275393169.00
2023/3/31,123195051201586.00
